,ID,clube_mandante,qtd_cartao_amarelo_mandante,qtd_cartao_vermelho_mandante,clube_visitante,qtd_cartao_amarelo_visitante,qtd_cartao_vermelho_visitante,total_cartoes_mandante,total_cartoes_visitante,total_cartoes_amarelos,total_cartoes_vermelhos,total_cartoes_partida,rodada,mandante_Placar,visitante_Placar,vencedor,campeonato,mandante,faltas_mandante,visitante,faltas_visitante,total_faltas_partida
1892,6533,Cruzeiro,1,0,Goias,2,1,1,3,3,1,4,3,2,1,Cruzeiro,17,Cruzeiro,14,Goias,10,24
1893,6534,Gremio,2,0,Fluminense,1,0,2,1,3,0,3,3,4,5,Fluminense,17,Gremio,8,Fluminense,10,18
1894,6535,Bahia,1,0,Avai,2,0,1,2,3,0,3,3,1,0,Bahia,17,Bahia,27,Avai,15,42
1895,6536,Fluminense,3,0,Botafogo-RJ,5,0,3,5,8,0,8,4,0,1,Botafogo-RJ,17,Fluminense,16,Botafogo-RJ,12,28
1896,6537,Corinthians,2,0,Gremio,4,0,2,4,6,0,6,4,0,0,-,17,Corinthians,13,Gremio,19,32
1897,6538,Goias,2,0,Ceara,2,0,2,2,4,0,4,4,2,1,Goias,17,Goias,20,Ceara,12,32
1898,6539,Flamengo,2,0,Chapecoense,3,0,2,3,5,0,5,4,2,1,Flamengo,17,Flamengo,18,Chapecoense,9,27
1899,6540,Santos,2,0,Vasco,4,1,2,5,6,1,7,4,3,0,Santos,17,Santos,18,Vasco,11,29
1900,6541,Atletico-MG,1,0,Palmeiras,3,0,1,3,4,0,4,4,0,2,Palmeiras,17,Atletico-MG,0,Palmeiras,0,0
1901,6542,Internacional,0,0,Cruzeiro,0,1,0,1,0,1,1,4,3,1,Internacional,17,Internacional,10,Cruzeiro,14,24
1902,6543,Avai,1,0,CSA,2,0,1,2,3,0,3,4,0,0,-,17,Avai,14,CSA,18,32
1903,6544,Athletico-PR,2,0,Bahia,3,0,2,3,5,0,5,4,1,0,Athletico-PR,17,Athletico-PR,13,Bahia,14,27
1904,6545,Fortaleza,2,0,Sao Paulo,2,0,2,2,4,0,4,4,0,1,Sao Paulo,17,Fortaleza,12,Sao Paulo,14,26
1905,6546,Fluminense,3,0,Cruzeiro,2,0,3,2,5,0,5,5,4,1,Fluminense,17,Fluminense,20,Cruzeiro,12,32
1906,6547,Palmeiras,2,0,Santos,4,0,2,4,6,0,6,5,4,0,Palmeiras,17,Palmeiras,23,Santos,19,42
1907,6548,Atletico-MG,3,1,Flamengo,1,0,4,1,4,1,5,5,2,1,Atletico-MG,17,Atletico-MG,11,Flamengo,8,19
1908,6549,Sao Paulo,1,1,Bahia,3,0,2,3,4,1,5,5,0,0,-,17,Sao Paulo,9,Bahia,19,28
1909,6550,Internacional,2,0,CSA,3,0,2,3,5,0,5,5,2,0,Internacional,17,Internacional,11,CSA,9,20
1910,6551,Athletico-PR,1,0,Corinthians,4,0,1,4,5,0,5,5,0,2,Corinthians,17,Athletico-PR,16,Corinthians,12,28
1911,6552,Goias,1,0,Botafogo-RJ,3,0,1,3,4,0,4,5,1,0,Goias,17,Goias,18,Botafogo-RJ,14,32
1912,6553,Chapecoense,1,0,Fortaleza,1,0,1,1,2,0,2,5,1,3,Fortaleza,17,Chapecoense,16,Fortaleza,12,28
1913,6554,Vasco,1,0,Avai,2,0,1,2,3,0,3,5,1,1,-,17,Vasco,16,Avai,14,30
1914,6555,Ceara,3,0,Gremio,6,0,3,6,9,0,9,5,2,1,Ceara,17,Ceara,14,Gremio,16,30
1915,6556,Botafogo-RJ,10,0,Palmeiras,0,0,10,0,10,0,10,6,0,1,Palmeiras,17,Botafogo-RJ,13,Palmeiras,19,32
1916,6557,Gremio,1,0,Atletico-MG,4,0,1,4,5,0,5,6,1,0,Gremio,17,Gremio,10,Atletico-MG,14,24
1917,6558,Flamengo,4,0,Athletico-PR,3,0,4,3,7,0,7,6,3,2,Flamengo,17,Flamengo,16,Athletico-PR,21,37
1918,6559,Santos,5,0,Internacional,5,0,5,5,10,0,10,6,0,0,-,17,Santos,19,Internacional,19,38
1919,6560,Fortaleza,1,0,Vasco,2,0,1,2,3,0,3,6,1,1,-,17,Fortaleza,9,Vasco,12,21
1920,6561,Cruzeiro,1,0,Chapecoense,3,0,1,3,4,0,4,6,1,2,Chapecoense,17,Cruzeiro,13,Chapecoense,11,24
1921,6562,Bahia,2,0,Fluminense,3,1,2,4,5,1,6,6,3,2,Bahia,17,Bahia,9,Fluminense,10,19
1922,6563,Corinthians,3,0,Sao Paulo,4,0,3,4,7,0,7,6,1,0,Corinthians,17,Corinthians,16,Sao Paulo,14,30
1923,6564,CSA,3,0,Goias,1,0,3,1,4,0,4,6,1,0,CSA,17,CSA,19,Goias,10,29
1924,6565,Avai,4,0,Ceara,3,0,4,3,7,0,7,6,1,2,Ceara,17,Avai,21,Ceara,15,36
1925,6566,Flamengo,1,0,Fortaleza,0,0,1,0,1,0,1,7,2,0,Flamengo,17,Flamengo,16,Fortaleza,6,22
1926,6567,Bahia,1,0,Gremio,2,0,1,2,3,0,3,7,1,0,Bahia,17,Bahia,8,Gremio,10,18
1927,6568,Botafogo-RJ,2,0,Vasco,3,0,2,3,5,0,5,7,1,0,Botafogo-RJ,17,Botafogo-RJ,15,Vasco,16,31
1928,6569,Ceara,2,0,Santos,1,0,2,1,3,0,3,7,0,1,Santos,17,Ceara,14,Santos,22,36
1929,6570,Athletico-PR,1,0,Fluminense,3,1,1,4,4,1,5,7,3,0,Athletico-PR,17,Athletico-PR,20,Fluminense,17,37
1930,6571,Sao Paulo,2,1,Cruzeiro,3,0,3,3,5,1,6,7,1,1,-,17,Sao Paulo,15,Cruzeiro,12,27
1931,6572,Atletico-MG,0,0,CSA,3,0,0,3,3,0,3,7,4,0,Atletico-MG,17,Atletico-MG,2,CSA,11,13
1932,6573,Chapecoense,2,0,Palmeiras,5,0,2,5,7,0,7,7,1,2,Palmeiras,17,Chapecoense,14,Palmeiras,21,35
1933,6575,Corinthians,1,0,Goias,2,1,1,3,3,1,4,7,2,0,Corinthians,17,Corinthians,13,Goias,11,24
1934,6576,Vasco,0,0,Internacional,2,0,0,2,2,0,2,8,2,1,Vasco,17,Vasco,13,Internacional,16,29
1935,6577,Palmeiras,2,0,Athletico-PR,4,0,2,4,6,0,6,8,1,0,Palmeiras,17,Palmeiras,16,Athletico-PR,29,45
1936,6578,Gremio,1,0,Fortaleza,4,1,1,5,5,1,6,8,1,0,Gremio,17,Gremio,7,Fortaleza,7,14
1937,6579,Cruzeiro,1,0,Corinthians,1,0,1,1,2,0,2,8,0,0,-,17,Cruzeiro,12,Corinthians,13,25
1938,6580,Ceara,2,0,Bahia,2,0,2,2,4,0,4,8,0,0,-,17,Ceara,12,Bahia,10,22
1939,6581,Avai,5,0,Sao Paulo,2,0,5,2,7,0,7,8,0,0,-,17,Avai,17,Sao Paulo,17,34
1940,6582,CSA,2,0,Botafogo-RJ,1,0,2,1,3,0,3,8,1,2,Botafogo-RJ,17,CSA,20,Botafogo-RJ,10,30
1941,6583,Fluminense,2,0,Flamengo,3,0,2,3,5,0,5,8,0,0,-,17,Fluminense,14,Flamengo,17,31
1942,6584,Santos,1,0,Atletico-MG,2,0,1,2,3,0,3,8,3,1,Santos,17,Santos,12,Atletico-MG,14,26
1943,6585,Goias,2,0,Chapecoense,0,1,2,1,2,1,3,8,3,1,Goias,17,Goias,14,Chapecoense,17,31
1944,6586,Botafogo-RJ,1,0,Gremio,2,0,1,2,3,0,3,9,0,1,Gremio,17,Botafogo-RJ,9,Gremio,11,20
1945,6587,Fortaleza,1,1,Cruzeiro,6,0,2,6,7,1,8,9,2,1,Fortaleza,17,Fortaleza,10,Cruzeiro,15,25
1946,6588,Internacional,1,0,Bahia,1,0,1,1,2,0,2,9,3,1,Internacional,17,Internacional,11,Bahia,7,18
1947,6589,CSA,3,0,Flamengo,1,0,3,1,4,0,4,9,0,2,Flamengo,17,CSA,13,Flamengo,10,23
1948,6590,Santos,4,0,Corinthians,4,0,4,4,8,0,8,9,1,0,Santos,17,Santos,16,Corinthians,13,29
1949,6591,Vasco,0,0,Ceara,2,0,0,2,2,0,2,9,1,0,Vasco,17,Vasco,14,Ceara,15,29
1950,6592,Chapecoense,2,0,Fluminense,6,1,2,7,8,1,9,9,1,1,-,17,Chapecoense,12,Fluminense,21,33
1951,6593,Palmeiras,1,0,Avai,1,0,1,1,2,0,2,9,2,0,Palmeiras,17,Palmeiras,13,Avai,18,31
1952,6594,Atletico-MG,2,0,Sao Paulo,4,0,2,4,6,0,6,9,1,1,-,17,Atletico-MG,13,Sao Paulo,17,30
1953,6595,Goias,1,0,Athletico-PR,3,0,1,3,4,0,4,9,2,1,Goias,17,Goias,0,Athletico-PR,0,0
1954,6596,Gremio,2,0,Vasco,4,0,2,4,6,0,6,10,2,1,Gremio,17,Gremio,18,Vasco,12,30
1955,6597,Fortaleza,2,0,Avai,2,0,2,2,4,0,4,10,2,0,Fortaleza,17,Fortaleza,15,Avai,12,27
1956,6598,Bahia,2,0,Santos,3,0,2,3,5,0,5,10,0,1,Santos,17,Bahia,13,Santos,11,24
1957,6599,Sao Paulo,3,0,Palmeiras,3,0,3,3,6,0,6,10,1,1,-,17,Sao Paulo,19,Palmeiras,18,37
1958,6600,Flamengo,1,0,Goias,2,0,1,2,3,0,3,10,6,1,Flamengo,17,Flamengo,8,Goias,9,17
1959,6601,Corinthians,2,0,CSA,6,0,2,6,8,0,8,10,1,0,Corinthians,17,Corinthians,2,CSA,18,20
1960,6602,Athletico-PR,3,0,Internacional,3,0,3,3,6,0,6,10,1,0,Athletico-PR,17,Athletico-PR,15,Internacional,16,31
1961,6604,Chapecoense,3,0,Atletico-MG,5,0,3,5,8,0,8,10,1,2,Atletico-MG,17,Chapecoense,20,Atletico-MG,16,36
1962,6605,Fluminense,2,0,Ceara,2,0,2,2,4,0,4,10,1,1,-,17,Fluminense,11,Ceara,15,26
1963,6606,Vasco,4,0,Fluminense,3,2,4,5,7,2,9,11,2,1,Vasco,17,Vasco,25,Fluminense,22,47
1964,6607,Bahia,2,1,Cruzeiro,1,0,3,1,3,1,4,11,0,0,-,17,Bahia,17,Cruzeiro,8,25
1965,6608,Ceara,3,0,Palmeiras,2,0,3,2,5,0,5,11,2,0,Ceara,17,Ceara,26,Palmeiras,13,39
1966,6609,CSA,2,0,Athletico-PR,1,0,2,1,3,0,3,11,0,4,Athletico-PR,17,CSA,0,Athletico-PR,0,0
1967,6610,Internacional,3,0,Gremio,2,0,3,2,5,0,5,11,1,1,-,17,Internacional,13,Gremio,14,27
1968,6611,Botafogo-RJ,2,1,Santos,3,1,3,4,5,2,7,11,0,1,Santos,17,Botafogo-RJ,12,Santos,14,26
1969,6612,Atletico-MG,1,0,Fortaleza,4,0,1,4,5,0,5,11,2,2,-,17,Atletico-MG,15,Fortaleza,12,27
1970,6613,Corinthians,1,0,Flamengo,4,1,1,5,5,1,6,11,1,1,-,17,Corinthians,20,Flamengo,17,37
1971,6614,Avai,4,0,Goias,2,0,4,2,6,0,6,11,0,0,-,17,Avai,16,Goias,19,35
1972,6615,Sao Paulo,1,0,Chapecoense,3,0,1,3,4,0,4,11,4,0,Sao Paulo,17,Sao Paulo,29,Chapecoense,19,48
