,total_cartoes_mandante,total_cartoes_visitante,faltas_mandante,faltas_visitante,total_faltas_partida,classico_regional,MedAma5_mandante,MedVer5_mandante,MedAma5_visitante,MedVer5_visitante,MedAmaTemp_mandante,MedAmaTemp_visitante,MedVerTemp_mandante,MedVerTemp_visitante,MedAmaH_mandante,MedAmaH_visitante,MedVerH_mandante,MedVerH_visitante,MaxAmaTemp_mandante,MinAmaTemp_mandante,MaxAmaTemp_visitante,MinAmaTemp_visitante,MaxVerTemp_mandante,MinVerTemp_mandante,MaxVerTemp_visitante,MinVerTemp_visitante
14,2,1,17,9,26,0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
15,2,3,10,7,17,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,1,4,18,13,31,0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,2.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0
17,3,1,17,12,29,0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
18,1,3,15,14,29,1,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,5.0,2.0,1.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
19,3,7,17,26,43,0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
20,2,0,12,11,23,0,0.0,0.0,0.0,0.0,2.5,2.0,0.0,0.5,2.5,2.0,0.0,0.5,3.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0
21,6,4,15,16,31,0,0.0,0.0,0.0,0.0,4.5,2.5,0.0,0.0,4.5,2.5,0.0,0.0,6.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0
22,6,5,16,24,40,0,0.0,0.0,0.0,0.0,3.0,2.5,0.0,0.5,3.0,2.5,0.0,0.5,3.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0
23,7,6,13,24,37,0,0.0,0.0,0.0,0.0,1.5,3.5,0.0,0.0,1.5,3.5,0.0,0.0,2.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0
24,5,6,13,20,33,0,0.0,0.0,0.0,0.0,3.0,1.5,0.0,0.5,3.0,1.5,0.0,0.5,4.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0
25,5,0,7,8,15,0,0.0,0.0,0.0,0.0,1.0,3.0,0.5,0.0,1.0,3.0,0.5,0.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0
