ID;data;clube_mandante_x;clube_visitante_x;cartao_amarelo_mandante;cartao_amarelo_visitante;cartao_vermelho_mandante;cartao_vermelho_visitante
6375;17/9/2018;Chapecoense;Internacional;4;2;0;1
6384;24/9/2018;Chapecoense;Fluminense;2;3;1;0
6390;30/9/2018;Atletico-MG;Sport;1;3;0;1
6402;6/10/2018;Gremio;Bahia;2;3;0;1
6411;14/10/2018;Internacional;Sao Paulo;0;3;0;1
6438;3/11/2018;Palmeiras;Santos;3;4;0;1
6446;10/11/2018;America-MG;Parana;2;1;1;1
6447;10/11/2018;Corinthians;Sao Paulo;0;3;1;0
6458;14/11/2018;Parana;Atletico-MG;3;3;2;0
6460;14/11/2018;Palmeiras;Fluminense;6;4;0;1
6461;14/11/2018;Cruzeiro;Corinthians;2;1;0;1
6467;17/11/2018;Vitoria;Athletico-PR;2;3;1;0
6468;17/11/2018;Atletico-MG;Bahia;2;3;1;0
6471;18/11/2018;Sport;Flamengo;1;0;0;1
6472;18/11/2018;Botafogo-RJ;Internacional;2;3;0;2
6491;25/11/2018;Internacional;Fluminense;3;1;0;1
6492;25/11/2018;America-MG;Bahia;2;1;0;1
6496;1/12/2018;Flamengo;Athletico-PR;3;1;1;1
6498;2/12/2018;Ceara;Vasco;2;2;1;0
6509;27/4/2019;Flamengo;Cruzeiro;4;4;0;1
6533;5/5/2019;Cruzeiro;Goias;1;1;0;1
6540;12/5/2019;Santos;Vasco;2;3;0;1
6541;12/5/2019;Atletico-MG;Palmeiras;1;3;0;0
6562;26/5/2019;Bahia;Fluminense;2;2;0;1
6587;12/6/2019;Fortaleza;Cruzeiro;1;0;1;2
6592;13/6/2019;Chapecoense;Fluminense;2;5;0;1
6595;13/6/2019;Goias;Athletico-PR;1;3;0;0
6606;20/7/2019;Vasco;Fluminense;4;2;0;2
6607;20/7/2019;Bahia;Cruzeiro;1;1;1;0
6609;20/7/2019;CSA;Athletico-PR;2;1;0;0
6611;21/7/2019;Botafogo-RJ;Santos;1;2;1;1
6613;21/7/2019;Corinthians;Flamengo;1;3;0;1
6617;27/7/2019;Cruzeiro;Athletico-PR;1;0;0;0
6626;3/8/2019;Ceara;Fortaleza;3;0;0;1
6639;10/8/2019;Atletico-MG;Fluminense;4;2;0;1
6641;11/8/2019;Palmeiras;Bahia;6;3;1;1
6642;11/8/2019;Avai;Cruzeiro;4;1;1;1
6644;11/8/2019;Goias;Vasco;4;3;0;1
6647;17/8/2019;Fortaleza;Internacional;1;2;1;0
6649;17/8/2019;Athletico-PR;Atletico-MG;3;1;0;0
6635;21/8/2019;Athletico-PR;Sao Paulo;3;3;0;0
6657;24/8/2019;Gremio;Athletico-PR;3;1;0;0
6666;31/8/2019;Sao Paulo;Gremio;0;1;1;0
6672;1/9/2019;Fortaleza;Goias;3;1;0;1
6681;7/9/2019;Goias;Palmeiras;5;0;0;1
6684;8/9/2019;Botafogo-RJ;Atletico-MG;4;2;0;1
6685;8/9/2019;CSA;Chapecoense;3;1;0;2
6690;15/9/2019;Athletico-PR;Avai;1;0;0;0
6703;22/9/2019;Vasco;Athletico-PR;3;3;0;0
6711;26/9/2019;Fluminense;Santos;2;2;2;1
6718;29/9/2019;Santos;CSA;0;2;1;0
6721;29/9/2019;Athletico-PR;Chapecoense;0;1;0;0
6743;10/10/2019;Corinthians;Athletico-PR;2;2;0;0
6750;13/10/2019;Athletico-PR;Flamengo;2;4;0;0
6752;13/10/2019;Vasco;Fortaleza;2;3;0;1
6756;16/10/2019;CSA;Atletico-MG;3;2;0;1
6761;16/10/2019;Goias;Corinthians;2;4;2;0
6765;17/10/2019;Fluminense;Athletico-PR;0;1;0;0
6766;19/10/2019;Fortaleza;Gremio;4;1;0;1
6775;21/10/2019;Botafogo-RJ;CSA;2;1;0;1
6780;26/10/2019;Cruzeiro;Fortaleza;3;1;0;0
6781;27/10/2019;Athletico-PR;Goias;1;1;0;0
6796;2/11/2019;Fortaleza;Atletico-MG;3;2;0;1
