,Unnamed: 0,Unnamed: 0.1,ID,campeonato,rodata,data,clube_mandante,clube_visitante,qtd_cartao_amarelo_mandante,qtd_cartao_amarelo_visitante,qtd_cartao_vermelho_mandante,qtd_cartao_vermelho_visitante,total_cartoes_mandante,total_cartoes_visitante,total_cartoes_vermelhos,total_cartoes_amarelos,total_cartoes_partida,faltas_mandante,faltas_visitante,total_faltas_partida,chave_classico,classico_regional,MedAma5_mandante,MedVer5_mandante,MedAma5_visitante,MedVer5_visitante,MedAmaTemp_mandante,MedAmaTemp_visitante,MedVerTemp_mandante,MedVerTemp_visitante,data_dt,MedAmaH_mandante,MedAmaH_visitante,MedVerH_mandante,MedVerH_visitante,MaxAmaTemp_mandante,MinAmaTemp_mandante,MaxAmaTemp_visitante,MinAmaTemp_visitante,MaxVerTemp_mandante,MinVerTemp_mandante,MaxVerTemp_visitante,MinVerTemp_visitante,ScoreMed_mandante,ScoreLevel_mandante,ScoreMed_visitante,ScoreLevel_visitante,ScoreMedTemp_mandante,ScoreLevelTemp_mandante,ScoreMedTemp_visitante,ScoreLevelTemp_visitante,FalAma_mandante,FalVer_mandante,FalAma_visitante,FalVer_visitante,FalAmaTemp_mandante,FalVerTemp_mandante,FalAmaTemp_visitante,FalVerTemp_visitante,Target_mandante_amarelo,Target_visitante_amarelo
20,20,20,5007,2015,3,23/5/2015,Sao Paulo,Joinville,0.4,0.0,0.0,0.0,2,0,0,2,2,0.5333333333333334,0.3181818181818182,23,Sao PauloJoinville,0,0.0,0.0,0.0,0.0,0.8741258741258742,0.7751937984496123,0.0,1.0,2015-05-23,0.8741258741258742,0.7751937984496123,0.0,1.0,0.6000000000000001,1.0,0.5,1.0,0.0,0.0,1.0,0.0,0.9767441860465116,1.0,0.8775981524249423,0.6000000000000001,0.8570234113712375,0.6666666666666666,0.9275618374558304,0.8333333333333333,0.996483001172333,0.07203389830508475,0.56,0.08235294117647059,0.7551766138855054,0.16666666666666669,0.5740740740740741,0.18075801749271136,0,0
21,21,21,5008,2015,3,23/5/2015,Vasco,Internacional,1.0000000000000002,0.42857142857142855,0.0,1.0,6,4,1,9,10,0.5,0.3529411764705882,31,VascoInternacional,0,0.0,0.0,0.0,0.0,1.0,0.7886435331230284,0.0,0.0,2015-05-23,1.0,0.7886435331230284,0.0,0.0,1.0,1.0,0.42857142857142855,1.0,0.0,0.0,0.0,0.0,0.8917713822456425,1.0,0.9130434782608695,0.8333333333333333,1.0,1.0,0.9361702127659575,1.0,0.9779816513761467,0.25098039215686274,1.0,0.12830188679245283,0.689507494646681,0.4793388429752066,1.0,0.33268101761252444,1,1
22,22,22,5009,2015,3,23/5/2015,Gremio,Figueirense,1.0,0.8,0.0,0.0,6,5,0,11,11,0.625,1.0000000000000002,40,GremioFigueirense,0,0.0,0.0,0.0,0.0,0.9230769230769231,0.7396449704142012,0.0,1.0,2015-05-23,0.9230769230769231,0.7396449704142012,0.0,1.0,0.5,1.0,0.6000000000000001,1.0,0.0,0.0,1.0,0.0,0.8959875340864821,1.0,0.8070175438596491,1.0,0.9690816797415782,1.0,0.8823529411764706,1.0,0.9912587412587414,0.06589147286821706,0.8616236162361623,0.09523809523809523,0.8650519031141868,0.07159904534606205,0.9922480620155039,0.2098360655737705,1,1
23,23,23,5010,2015,3,24/5/2015,Palmeiras,Goias,1.0,0.7142857142857142,1.0,1.0,7,6,2,11,13,0.3043478260869565,0.8333333333333333,37,PalmeirasGoias,0,0.0,0.0,0.0,0.0,0.42857142857142855,1.0,0.0,0.0,2015-05-24,0.42857142857142855,1.0,0.0,0.0,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9230769230769231,1.0,1.0,1.0,0.7835051546391752,0.5,1.0,1.0,1.0,0.06535947712418301,0.9944751381215471,0.30449983083342735,1.0,0.09580838323353294,0.9512987012987013,0.25308641975308643,1,1
24,24,24,5011,2015,3,24/5/2015,Chapecoense,Santos,1.0,0.75,0.0,0.0,5,6,0,11,11,0.5333333333333334,0.590909090909091,33,ChapecoenseSantos,0,0.0,0.0,0.0,0.0,0.9230769230769231,0.48543689320388356,0.0,1.0,2015-05-24,0.9230769230769231,0.48543689320388356,0.0,1.0,0.8,1.0,0.3333333333333333,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.72,0.3333333333333333,1.0,1.0,0.8304195804195805,0.5,1.0,0.08264462809917356,1.0,0.1885822046974113,0.847457627118644,0.17886178861788618,1.0,0.4277286135693215,1,1
25,25,25,5012,2015,3,24/5/2015,Athletico-PR,Atletico-MG,0.8,0.0,1.0,0.0,5,0,1,4,5,0.06666666666666665,0.2,15,Athletico-PRAtletico-MG,0,0.0,0.0,0.0,0.0,0.36900369003690037,1.0,1.0,0.0,2015-05-24,0.36900369003690037,1.0,1.0,0.0,0.2,1.0,0.8,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.957592339261286,1.0,1.0,1.0,1.0,0.15454545454545454,0.546875,0.1308411214953271,1.0,0.4200168006720269,0.5637949836423118,0.13596491228070173,1,0
26,26,26,5013,2015,3,24/5/2015,Fluminense,Corinthians,0.3333333333333333,0.2857142857142857,0.0,0.0,2,2,0,4,4,0.6521739130434783,0.0,25,FluminenseCorinthians,0,0.0,0.0,0.0,0.0,0.5535055350553506,0.5769230769230769,0.0,0.0,2015-05-24,0.5535055350553506,0.5769230769230769,0.0,0.0,0.2857142857142857,1.0,0.4,1.0,0.0,0.0,0.0,0.0,0.6595636732623034,0.3333333333333333,0.9330406147091109,0.5,0.5636449037106623,0.2,0.9287148594377509,0.6666666666666666,0.5487804878048781,0.03585657370517928,1.0,0.12820512820512822,0.7398273736128238,0.2465753424657534,1.0,0.14622641509433962,0,0
27,27,27,5014,2015,3,24/5/2015,Avai,Flamengo,0.8333333333333333,0.8571428571428571,0.0,0.0,5,6,0,11,11,0.7142857142857143,0.4285714285714286,32,AvaiFlamengo,0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,2015-05-24,1.0,0.4,0.0,0.0,1.0,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.6404391582799634,0.2,0.6153846153846154,0.16666666666666666,1.0,1.0,0.5833333333333333,0.16666666666666666,1.0,0.05050505050505051,1.0,0.07692307692307693,0.8810572687224669,0.17603911980440098,1.0,0.14379084967320263,1,1
28,28,28,5015,2015,3,24/5/2015,Cruzeiro,Ponte Preta,0.5,0.3333333333333333,0.0,0.0,2,2,0,4,4,0.75,0.38888888888888884,28,CruzeiroPonte Preta,0,0.0,0.0,0.0,0.0,0.9333333333333333,1.0,0.0,1.0,2015-05-24,0.9333333333333333,1.0,0.0,1.0,0.6666666666666666,1.0,0.8333333333333333,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9670329670329672,1.0,1.0,1.0,0.7941176470588235,0.10625000000000001,0.7368421052631579,0.0726643598615917,0.7539543057996484,0.10380622837370243,0.9118541033434651,0.11538461538461538,0,0
29,29,29,5016,2015,3,24/5/2015,Sport,Coritiba,0.16666666666666666,0.6666666666666666,0.0,0.0,1,4,0,5,5,0.5384615384615384,0.7499999999999999,30,SportCoritiba,0,0.0,0.0,0.0,0.0,0.9478672985781991,0.5449591280653951,0.0,0.0,2015-05-24,0.9478672985781991,0.5449591280653951,0.0,0.0,0.5,1.0,0.2857142857142857,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8680555555555556,1.0,0.989486703772418,1.0,0.9306569343065695,1.0,1.0,0.08292682926829269,1.0,0.18025751072961374,0.8356545961002786,0.08,1.0,0.20427553444180524,0,1
