,ID,clube_mandante,qtd_cartao_amarelo_mandante,qtd_cartao_vermelho_mandante,clube_visitante,qtd_cartao_amarelo_visitante,qtd_cartao_vermelho_visitante,total_cartoes_mandante,total_cartoes_visitante,total_cartoes_amarelos,total_cartoes_vermelhos,total_cartoes_partida
232,4846,Gremio,2,0,Chapecoense,4,0,2,4,6,0,6
233,4847,Internacional,2,0,Criciuma,3,0,2,3,5,0,5
234,4848,Coritiba,4,0,Cruzeiro,2,0,4,2,6,0,6
235,4849,Bahia,2,0,Sport,3,0,2,3,5,0,5
236,4850,Chapecoense,1,0,Athletico-PR,2,0,1,2,3,0,3
237,4851,Sao Paulo,1,1,Flamengo,3,0,2,3,4,1,5
238,4852,Figueirense,2,0,Corinthians,1,0,2,1,3,0,3
239,4854,Palmeiras,2,0,Vitoria,4,0,2,4,6,0,6
240,4855,Botafogo-RJ,1,0,Goias,2,0,1,2,3,0,3
241,4856,Atletico-MG,3,0,Santos,3,0,3,3,6,0,6
242,4857,Chapecoense,1,1,Criciuma,3,1,2,4,4,2,6
243,4858,Sport,2,0,Cruzeiro,1,0,2,1,3,0,3
244,4859,Sao Paulo,4,0,Fluminense,1,0,4,1,5,0,5
245,4860,Bahia,1,0,Flamengo,0,0,1,0,1,0,1
246,4861,Athletico-PR,3,0,Corinthians,2,0,3,2,5,0,5
247,4862,Botafogo-RJ,3,0,Gremio,4,0,3,4,7,0,7
248,4863,Atletico-MG,2,0,Vitoria,2,0,2,2,4,0,4
249,4864,Figueirense,2,0,Palmeiras,3,1,2,4,5,1,6
250,4865,Internacional,1,0,Coritiba,1,0,1,1,2,0,2
251,4866,Santos,1,0,Goias,2,0,1,2,3,0,3
252,4867,Palmeiras,0,0,Chapecoense,4,0,0,4,4,0,4
253,4868,Flamengo,3,0,Santos,2,0,3,2,5,0,5
254,4869,Fluminense,3,0,Bahia,1,0,3,1,4,0,4
255,4870,Coritiba,2,0,Athletico-PR,2,0,2,2,4,0,4
256,4871,Vitoria,2,0,Botafogo-RJ,3,0,2,3,5,0,5
257,4872,Gremio,5,0,Sao Paulo,3,0,5,3,8,0,8
258,4873,Corinthians,0,0,Sport,1,0,0,1,1,0,1
259,4874,Cruzeiro,2,0,Internacional,4,0,2,4,6,0,6
260,4875,Criciuma,2,0,Atletico-MG,2,0,2,2,4,0,4
261,4876,Goias,0,0,Figueirense,1,0,0,1,1,0,1
262,4877,Botafogo-RJ,3,0,Palmeiras,3,0,3,3,6,0,6
263,4878,Coritiba,1,0,Criciuma,1,0,1,1,2,0,2
264,4879,Sao Paulo,3,0,Athletico-PR,2,0,3,2,5,0,5
265,4880,Vitoria,1,0,Goias,1,0,1,1,2,0,2
266,4881,Cruzeiro,1,0,Corinthians,2,0,1,2,3,0,3
267,4882,Gremio,3,0,Sport,1,0,3,1,4,0,4
268,4883,Figueirense,5,0,Flamengo,2,0,5,2,7,0,7
269,4884,Santos,1,0,Bahia,1,0,1,1,2,0,2
270,4885,Fluminense,1,0,Atletico-MG,2,0,1,2,3,0,3
271,4886,Chapecoense,0,0,Internacional,1,1,0,2,1,1,2
272,4887,Goias,3,0,Gremio,2,0,3,2,5,0,5
273,4888,Sao Paulo,5,0,Bahia,2,0,5,2,7,0,7
274,4889,Fluminense,5,0,Criciuma,5,1,5,6,10,1,11
275,4890,Atletico-MG,0,0,Chapecoense,1,0,0,1,1,0,1
276,4891,Athletico-PR,1,0,Flamengo,1,0,1,1,2,0,2
277,4892,Figueirense,4,0,Coritiba,3,0,4,3,7,0,7
278,4893,Internacional,5,0,Corinthians,5,0,5,5,10,0,10
279,4894,Palmeiras,3,0,Santos,6,0,3,6,9,0,9
280,4895,Vitoria,3,0,Cruzeiro,2,0,3,2,5,0,5
281,4896,Botafogo-RJ,0,0,Sport,1,0,0,1,1,0,1
282,4897,Bahia,2,1,Atletico-MG,3,1,3,4,5,2,7
283,4898,Corinthians,1,0,Vitoria,1,0,1,1,2,0,2
284,4899,Flamengo,2,0,Internacional,1,0,2,1,3,0,3
285,4900,Criciuma,4,0,Athletico-PR,3,0,4,3,7,0,7
286,4901,Cruzeiro,1,0,Palmeiras,4,0,1,4,5,0,5
287,4902,Gremio,3,0,Figueirense,3,1,3,4,6,1,7
288,4903,Coritiba,3,0,Botafogo-RJ,3,1,3,4,6,1,7
289,4904,Chapecoense,2,0,Sao Paulo,3,1,2,4,5,1,6
290,4905,Santos,2,0,Fluminense,1,0,2,1,3,0,3
291,4906,Sport,1,0,Goias,4,0,1,4,5,0,5
292,4907,Figueirense,1,0,Cruzeiro,1,0,1,1,2,0,2
293,4908,Palmeiras,5,0,Corinthians,3,0,5,3,8,0,8
294,4909,Fluminense,1,0,Athletico-PR,1,0,1,1,2,0,2
295,4910,Vitoria,0,0,Criciuma,4,0,0,4,4,0,4
296,4911,Atletico-MG,1,1,Sport,4,0,2,4,5,1,6
297,4912,Chapecoense,1,0,Santos,4,0,1,4,5,0,5
298,4913,Coritiba,2,0,Gremio,5,0,2,5,7,0,7
299,4914,Internacional,2,0,Bahia,4,0,2,4,6,0,6
300,4915,Botafogo-RJ,2,0,Flamengo,1,0,2,1,3,0,3
301,4916,Sao Paulo,1,0,Goias,2,0,1,2,3,0,3
302,4917,Goias,0,0,Fluminense,3,0,0,3,3,0,3
303,4918,Gremio,0,0,Vitoria,1,0,0,1,1,0,1
304,4920,Santos,2,0,Internacional,5,0,2,5,7,0,7
305,4921,Sport,3,0,Figueirense,2,0,3,2,5,0,5
306,4922,Cruzeiro,2,0,Botafogo-RJ,3,0,2,3,5,0,5
307,4923,Criciuma,2,0,Sao Paulo,2,0,2,2,4,0,4
308,4924,Athletico-PR,2,0,Atletico-MG,1,0,2,1,3,0,3
309,4925,Flamengo,2,0,Chapecoense,1,0,2,1,3,0,3
310,4926,Bahia,4,0,Palmeiras,3,0,4,3,7,0,7
311,4927,Coritiba,2,0,Fluminense,5,0,2,5,7,0,7
312,4928,Palmeiras,0,0,Atletico-MG,1,0,0,1,1,0,1
313,4929,Botafogo-RJ,0,1,Athletico-PR,0,0,1,0,0,1,1
314,4930,Vitoria,2,0,Sao Paulo,1,0,2,1,3,0,3
315,4931,Gremio,2,0,Internacional,3,0,2,3,5,0,5
316,4932,Figueirense,4,0,Chapecoense,0,0,4,0,4,0,4
317,4933,Sport,3,0,Flamengo,3,0,3,3,6,0,6
318,4934,Corinthians,2,0,Santos,2,0,2,2,4,0,4
319,4935,Cruzeiro,5,0,Criciuma,4,0,5,4,9,0,9
320,4936,Goias,2,0,Bahia,2,0,2,2,4,0,4
321,4937,Sao Paulo,4,0,Internacional,3,1,4,4,7,1,8
322,4938,Botafogo-RJ,0,0,Figueirense,4,0,0,4,4,0,4
323,4939,Athletico-PR,2,0,Santos,1,0,2,1,3,0,3
324,4940,Goias,2,0,Corinthians,0,0,2,0,2,0,2
325,4941,Vitoria,3,0,Coritiba,2,0,3,2,5,0,5
326,4942,Criciuma,4,0,Bahia,1,0,4,1,5,0,5
327,4943,Atletico-MG,2,0,Flamengo,0,0,2,0,2,0,2
328,4944,Palmeiras,2,0,Sport,1,0,2,1,3,0,3
329,4945,Fluminense,4,0,Chapecoense,1,0,4,1,5,0,5
330,4946,Gremio,4,0,Cruzeiro,3,0,4,3,7,0,7
331,4947,Criciuma,4,0,Gremio,2,0,4,2,6,0,6
332,4948,Fluminense,4,0,Botafogo-RJ,3,0,4,3,7,0,7
333,4949,Bahia,2,0,Corinthians,2,0,2,2,4,0,4
334,4950,Athletico-PR,2,0,Sport,1,0,2,1,3,0,3
335,4951,Flamengo,1,0,Coritiba,3,0,1,3,4,0,4
336,4952,Santos,2,0,Cruzeiro,1,0,2,1,3,0,3
337,4953,Internacional,2,0,Goias,3,0,2,3,5,0,5
338,4954,Chapecoense,0,0,Vitoria,3,0,0,3,3,0,3
339,4955,Sao Paulo,3,0,Palmeiras,3,0,3,3,6,0,6
340,4956,Atletico-MG,0,0,Figueirense,3,0,0,3,3,0,3
341,4957,Internacional,4,0,Atletico-MG,0,0,4,0,4,0,4
342,4958,Bahia,2,1,Athletico-PR,0,0,3,0,2,1,3
343,4959,Santos,3,0,Sao Paulo,1,0,3,1,4,0,4
344,4960,Flamengo,1,0,Criciuma,4,0,1,4,5,0,5
345,4961,Sport,4,0,Fluminense,1,0,4,1,5,0,5
346,4962,Cruzeiro,1,0,Goias,2,0,1,2,3,0,3
347,4963,Figueirense,2,0,Vitoria,3,0,2,3,5,0,5
348,4964,Corinthians,1,0,Gremio,2,0,1,2,3,0,3
349,4965,Chapecoense,3,0,Botafogo-RJ,2,0,3,2,5,0,5
350,4966,Coritiba,3,0,Palmeiras,4,0,3,4,7,0,7
351,4967,Criciuma,4,0,Sport,0,0,4,0,4,0,4
352,4968,Internacional,2,1,Palmeiras,1,2,3,3,3,3,6
353,4969,Flamengo,3,0,Vitoria,4,1,3,5,7,1,8
354,4970,Sao Paulo,2,0,Figueirense,4,1,2,5,6,1,7
355,4971,Santos,1,0,Botafogo-RJ,1,0,1,1,2,0,2
356,4972,Fluminense,2,1,Corinthians,4,0,3,4,6,1,7
357,4973,Chapecoense,2,0,Cruzeiro,0,0,2,0,2,0,2
358,4974,Atletico-MG,3,0,Coritiba,4,0,3,4,7,0,7
359,4975,Athletico-PR,3,0,Goias,5,2,3,7,8,2,10
360,4976,Bahia,2,0,Gremio,2,1,2,3,4,1,5
361,4977,Corinthians,2,0,Criciuma,2,0,2,2,4,0,4
362,4978,Figueirense,2,3,Internacional,3,2,5,5,5,5,10
363,4979,Coritiba,3,0,Bahia,1,0,3,1,4,0,4
364,4980,Vitoria,0,0,Santos,3,0,0,3,3,0,3
365,4981,Sport,0,0,Sao Paulo,1,0,0,1,1,0,1
366,4982,Botafogo-RJ,3,0,Atletico-MG,3,0,3,3,6,0,6
367,4983,Palmeiras,1,0,Athletico-PR,1,0,1,1,2,0,2
368,4984,Gremio,3,0,Flamengo,0,1,3,1,3,1,4
369,4985,Cruzeiro,1,0,Fluminense,4,0,1,4,5,0,5
